Source Port,Destination Port,Action,Rule ID,HitCount
57222,53,allow,0,2
56258,3389,allow,1,1
6881,50321,allow,2,2
50553,3389,allow,3,1
50002,443,allow,4,1
51465,443,allow,5,2
60513,47094,allow,6,1
50049,443,allow,7,2
52244,58774,allow,8,2
50627,443,allow,9,2
43676,80,allow,10,2
52190,443,allow,11,2
50690,80,allow,12,2
55597,53,allow,13,1
49164,443,allow,14,1
36887,443,allow,15,1
1939,53,allow,16,1
50281,53,allow,17,3
56710,53,allow,18,7
48488,443,allow,19,1
50691,80,allow,20,2
50693,80,allow,21,2
1940,53,allow,22,1
50172,53,allow,23,1
38802,53,allow,24,1
50051,443,allow,25,1
52192,443,allow,26,1
57886,443,allow,27,1
50289,80,allow,28,1
58615,443,allow,29,1
38551,53,allow,30,1
64787,53,allow,31,6
34529,443,allow,32,2
52184,443,allow,33,1
60377,443,allow,34,3
59347,80,allow,35,1
50077,443,allow,36,3
50149,80,allow,37,2
50004,443,allow,38,1
60411,80,allow,39,1
60354,80,allow,40,1
60399,80,allow,41,1
60348,80,allow,42,1
60420,80,allow,43,1
60423,443,allow,44,2
60360,443,allow,45,1
60363,443,allow,46,2
9523,443,allow,47,1
63842,45682,allow,48,1
60430,443,allow,49,1
59878,443,allow,50,1
53179,12502,allow,51,1
60414,80,allow,52,1
60400,80,allow,53,1
60407,443,allow,54,3
60398,80,allow,55,1
60339,80,allow,56,1
38641,443,allow,57,1
54996,53,allow,58,4
48066,443,allow,59,1
60811,40010,allow,60,1
52103,80,allow,61,1
52195,443,allow,62,2
50000,53,allow,63,5
52193,443,allow,64,2
55234,53,allow,65,2
50692,80,allow,66,2
60370,80,allow,67,1
65401,53,allow,68,1
51737,53,allow,69,1
50685,80,allow,70,2
52191,443,allow,71,2
54557,80,allow,72,1
48818,443,allow,73,1
64223,53,allow,74,1
49245,53,allow,75,5
65258,443,allow,76,1
64399,53,allow,77,2
64593,53,allow,78,3
56911,53,allow,79,5
53977,22266,allow,80,1
50148,80,allow,81,2
53178,42671,allow,82,1
52181,443,allow,83,1
65004,53,allow,84,2
46265,443,allow,85,1
49158,443,allow,86,3
33067,53,allow,87,2
22767,53,allow,88,1
52715,443,allow,89,2
33845,80,allow,90,1
61442,443,allow,91,1
9446,443,allow,92,1
52194,443,allow,93,2
58306,443,allow,94,2
42412,443,allow,95,1
61396,443,allow,96,1
61273,443,allow,97,2
50016,53,allow,98,2
58307,443,allow,99,1
55182,53,allow,100,3
41631,443,allow,101,1
38637,443,allow,102,1
45317,53,allow,103,1
56704,53,allow,104,9
49410,53,allow,105,9
56504,53,allow,106,5
50003,443,allow,107,1
40737,443,allow,108,1
38082,443,allow,109,2
36036,443,allow,110,1
55476,53,allow,111,1
49395,53,allow,112,2
56172,53,allow,113,3
56624,53,allow,114,11
57470,20220,allow,115,1
33856,443,allow,116,2
59983,443,allow,117,2
15503,63425,allow,118,1
53987,16571,allow,119,2
53986,54070,allow,120,2
64094,1024,allow,121,2
64095,1976,allow,122,2
52126,443,allow,123,2
52144,80,allow,124,1
50816,443,allow,125,1
50057,80,allow,126,1
52146,80,allow,127,2
54139,53,allow,128,1
53994,16605,allow,129,1
35242,8635,allow,130,1
