Source Port,Destination Port,NAT Source Port,NAT Destination Port,Action,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received,Rule ID,HitCount
57222,53,54587,53,allow,177,94,83,2,30,1,1,0,2
56258,3389,56258,3389,allow,4768,1600,3168,19,17,10,9,1,1
6881,50321,43265,50321,allow,238,118,120,2,1199,1,1,2,2
50553,3389,50553,3389,allow,3327,1438,1889,15,17,8,7,3,1
50002,443,45848,443,allow,25358,6778,18580,31,16,13,18,4,1
51465,443,39975,443,allow,3961,1595,2366,21,16,12,9,5,2
60513,47094,45469,47094,allow,320,140,180,6,7,3,3,6,1
50049,443,21285,443,allow,7912,3269,4643,23,96,12,11,7,2
52244,58774,2211,58774,allow,70,70,0,1,5,1,0,8,2
50627,443,16215,443,allow,8256,1674,6582,31,75,15,16,9,2
43676,80,45378,80,allow,696,378,318,12,35,7,5,10,2
52190,443,16680,443,allow,7942,870,7072,22,15,10,12,11,2
50690,80,20479,80,allow,4805,3639,1166,16,31,9,7,12,2
55597,53,45448,53,allow,168,86,82,2,30,1,1,13,1
49164,443,45916,443,allow,7292,950,6342,19,75,9,10,14,1
36887,443,63451,443,allow,10922,2532,8390,27,28,13,14,15,1
1939,53,33288,53,allow,210,78,132,2,30,1,1,16,1
50281,53,33175,53,allow,195,102,93,2,30,1,1,17,3
57222,53,51448,53,allow,177,94,83,2,30,1,1,0,2
56710,53,57885,53,allow,177,94,83,2,30,1,1,18,7
48488,443,26104,443,allow,12993,3240,9753,36,24,18,18,19,1
50691,80,62082,80,allow,4237,3610,627,15,31,8,7,20,2
50693,80,54649,80,allow,4465,3390,1075,14,30,8,6,21,2
1940,53,23603,53,allow,210,78,132,2,30,1,1,22,1
50172,53,37056,53,allow,211,78,133,2,30,1,1,23,1
38802,53,38802,53,allow,216,90,126,2,30,1,1,24,1
50281,53,8038,53,allow,195,102,93,2,30,1,1,17,3
50051,443,1683,443,allow,7912,3269,4643,23,96,12,11,25,1
52192,443,41129,443,allow,13948,1150,12798,29,15,14,15,26,1
57886,443,10717,443,allow,33667,25477,8190,60,33,34,26,27,1
50289,80,7131,80,allow,7166,1086,6080,18,87,9,9,28,1
58615,443,30095,443,allow,6796,1541,5255,23,121,11,12,29,1
38551,53,14191,53,allow,168,78,90,2,30,1,1,30,1
64787,53,29856,53,allow,728,102,626,2,30,1,1,31,6
34529,443,30445,443,allow,62652,30891,31761,158,381,67,91,32,2
52184,443,13267,443,allow,13902,3253,10649,26,135,14,12,33,1
60377,443,34261,443,allow,8678,2974,5704,50,123,27,23,34,3
59347,80,59347,80,allow,108790,4633,104157,192,15,66,126,35,1
50077,443,40548,443,allow,7976,3333,4643,23,25,12,11,36,3
50149,80,2917,80,allow,11574,901,10673,20,46,11,9,37,2
50004,443,10108,443,allow,8745,2603,6142,19,15,11,8,38,1
60411,80,48309,80,allow,1589,941,648,11,121,6,5,39,1
60354,80,7611,80,allow,644,256,388,8,124,5,3,40,1
60399,80,36861,80,allow,1168,815,353,10,122,6,4,41,1
60348,80,15161,80,allow,10335,1617,8718,19,124,9,10,42,1
60420,80,1065,80,allow,14498,6454,8044,24,120,12,12,43,1
60423,443,61729,443,allow,6849,1103,5746,23,120,12,11,44,2
60360,443,62556,443,allow,5212,1101,4111,22,123,12,10,45,1
60363,443,28558,443,allow,5214,1101,4113,22,123,12,10,46,2
9523,443,27776,443,allow,7199,1410,5789,22,33,11,11,47,1
63842,45682,31353,45682,allow,4687209,3850148,837061,4974,107,3004,1970,48,1
60430,443,49199,443,allow,5696,1143,4553,23,119,12,11,49,1
59878,443,30562,443,allow,3864,2812,1052,17,112,8,9,50,1
53179,12502,28254,12502,allow,70,70,0,2,7,2,0,51,1
60414,80,46472,80,allow,5124,3499,1625,14,121,8,6,52,1
60400,80,41884,80,allow,1704,808,896,10,122,6,4,53,1
60407,443,49458,443,allow,8328,1611,6717,25,121,14,11,54,3
60398,80,57820,80,allow,378,192,186,7,122,4,3,55,1
60339,80,1887,80,allow,35136,7862,27274,53,124,26,27,56,1
38641,443,31615,443,allow,318,192,126,6,14,4,2,57,1
54996,53,2476,53,allow,168,86,82,2,31,1,1,58,4
48066,443,56844,443,allow,62,62,0,1,4,1,0,59,1
60811,40010,33835,40010,allow,316,136,180,6,5,3,3,60,1
52103,80,61932,80,allow,68083,5515,62568,90,38,40,50,61,1
52195,443,11275,443,allow,13948,1150,12798,29,15,14,15,62,2
50000,53,16568,53,allow,502,115,387,4,52,2,2,63,5
52193,443,50924,443,allow,13948,1150,12798,29,15,14,15,64,2
